Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 50.00      0.01     0.01   245807    40.68    40.68  void std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
 50.00      0.02     0.01    51202   195.30   195.30  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.02     0.00   737421     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.02     0.00   491614     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.02     0.00   348211     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00   307212     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.02     0.00   297009     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.02     0.00   297009     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.02     0.00   297009     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.02     0.00   297009     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.02     0.00   297009     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00   245864     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00   245807     0.00     0.00  FancyOutputStream::write_bit(int)
  0.00      0.02     0.00   245807     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.02     0.00   245807     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.02     0.00   245807     0.00     0.00  void std::__new_allocator<int>::destroy<int>(int*)
  0.00      0.02     0.00   245807     0.00     0.00  void std::__new_allocator<int>::construct<int, int>(int*, int&&)
